GEOID,NAME,geometry,Hispanic,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Two or More,Total,Total 18+,Under 18
55079000900,"Census Tract 9, Milwaukee County, Wisconsin","list(list(c(-87.965482, -87.965198, -87.957507, -87.96031, -87.958116, -87.950791, -87.946482, -87.945139, -87.945433, -87.954758, -87.952608, -87.951585, -87.948422, -87.95176, -87.953405, -87.955216, -87.964914, -87.965704, -87.965482, 43.148584, 43.155868, 43.155815, 43.162278, 43.163087, 43.163034, 43.159724, 43.158692, 43.148371, 43.148488, 43.143508, 43.141156, 43.133784, 43.133826, 43.135394, 43.134803, 43.141274, 43.141805, 43.148584)))",0.05319750990379174,0.1366723259762309,0.6989247311827957,0.001697792869269949,0.06395019807583475,5.659309564233164e-4,0.00311262026032824,0.04187889077532541,3534,2106,1428
55079001000,"Census Tract 10, Milwaukee County, Wisconsin","list(list(c(-87.96333, -87.962144, -87.95973, -87.958547, -87.956115, -87.95189, -87.952449, -87.953405, -87.95176, -87.948422, -87.947742, -87.946027, -87.946138, -87.946209, -87.945435, -87.94626, -87.949034, -87.950593, -87.952612, -87.956252, -87.958697, -87.959907, -87.963495, -87.96333, 43.126598, 43.126587, 43.126566, 43.126555, 43.126534, 43.126511, 43.131355, 43.135394, 43.133826, 43.133784, 43.132298, 43.128291, 43.122752, 43.120892, 43.11912, 43.119135, 43.11917, 43.119278, 43.119109, 
43.119156, 43.119174, 43.119184, 43.119196, 43.126598)))",0.05845323741007194,0.12170263788968826,0.7586930455635491,0.001498800959232614,0.015587529976019185,0,0.004796163069544364,0.03926858513189448,3336,2145,1191
55079001100,"Census Tract 11, Milwaukee County, Wisconsin","list(list(c(-87.984558, -87.975748, -87.965978, -87.956397, -87.955216, -87.953405, -87.952449, -87.95189, -87.956115, -87.958547, -87.95973, -87.962144, -87.96333, -87.963495, -87.964679, -87.96627, -87.967602, -87.976238, -87.981155, -87.98099, -87.98097, -87.983545, -87.985737, -87.984558, 43.133938, 43.133942, 43.133932, 43.13406, 43.134803, 43.135394, 43.131355, 43.126511, 43.126534, 43.126555, 43.126566, 43.126587, 43.126598, 43.119196, 43.119287, 43.119293, 43.119299, 43.119338, 43.119334, 
43.126626, 43.129694, 43.131987, 43.133937, 43.133938)))",0.030211480362537766,0.06986404833836858,0.8379909365558912,0.0026435045317220545,0.02039274924471299,0,0.004154078549848943,0.03474320241691843,2648,1699,949
55079001200,"Census Tract 12, Milwaukee County, Wisconsin","list(list(c(-87.990967, -87.990945, -87.990899, -87.990887, -87.990847, -87.985737, -87.983545, -87.98097, -87.98099, -87.981155, -87.983613, -87.988337, -87.991096, -87.990967, 43.123046, 43.124857, 43.126689, 43.129518, 43.133987, 43.133937, 43.131987, 43.129694, 43.126626, 43.119334, 43.11933, 43.119361, 43.119406, 43.123046)))",0.038781163434903045,0.04189750692520776,0.6793628808864266,0.0013850415512465374,0.21191135734072022,0,0.001038781163434903,0.025623268698060944,2888,1660,1228
55079001400,"Census Tract 14, Milwaukee County, Wisconsin","list(list(c(-88.025538, -88.025439, -88.015654, -88.015615, -88.010722, -88.00567, -88.005895, -88.015756, -88.020941, -88.025675, -88.025538, 43.131093, 43.134061, 43.134105, 43.134106, 43.134122, 43.134149, 43.12953, 43.127864, 43.126959, 43.126161, 43.131093)))",0.03508771929824561,0.09385964912280702,0.6456140350877193,0.0013157894736842105,0.17280701754385966,0,0.0017543859649122807,0.04956140350877193,2280,1366,914
55079001500,"Census Tract 15, Milwaukee County, Wisconsin","list(list(c(-88.025675, -88.020941, -88.015756, -88.005895, -88.005955, -88.005997, -88.009781, -88.012062, -88.014043, -88.025884, -88.025675, 43.126161, 43.126959, 43.127864, 43.12953, 43.126868, 43.119525, 43.119571, 43.119567, 43.119563, 43.119515, 43.126161)))",0.031486146095717885,0.09855163727959698,0.5947732997481109,0.003778337531486146,0.23929471032745592,6.297229219143577e-4,0.0025188916876574307,0.028967254408060455,3176,2027,1149
55079001600,"Census Tract 16, Milwaukee County, Wisconsin","list(list(c(-88.025884, -88.014043, -88.012062, -88.009781, -88.005997, -88.006052, -88.007546, -88.014612, -88.015804, -88.01693, -88.023158, -88.024609, -88.025934, -88.025884, 43.119515, 43.119563, 43.119567, 43.119571, 43.119525, 43.112279, 43.112273, 43.112242, 43.112236, 43.112237, 43.112244, 43.111587, 43.112576, 43.119515)))",0.04594400574300072,0.09798994974874371,0.7638190954773869,3.589375448671931e-4,0.06676238334529792,3.589375448671931e-4,0.0014357501794687725,0.023330940416367553,2786,1724,1062
55079001800,"Census Tract 18, Milwaukee County, Wisconsin","list(list(c(-88.005997, -88.004058, -88.002214, -88.001018, -87.998528, -87.997297, -87.996049, -87.994773, -87.991096, -87.991043, -87.991174, -87.993607, -87.994842, -87.996073, -88.001452, -88.001943, -88.002553, -88.003529, -88.006052, -88.005997, 43.119525, 43.119464, 43.119544, 43.119533, 43.11951, 43.119499, 43.119488, 43.119467, 43.119406, 43.116254, 43.112097, 43.112127, 43.112143, 43.112158, 43.112246, 43.112672, 43.11232, 43.112218, 43.112279, 43.119525)))",0.05540780141843971,0.11037234042553191,0.7322695035460993,8.865248226950354e-4,0.06959219858156028,0,0.002216312056737589,0.02925531914893617,2256,1480,776
55079001900,"Census Tract 19, Milwaukee County, Wisconsin","list(list(c(-87.991043, -87.991096, -87.988337, -87.983613, -87.981155, -87.976238, -87.976279, -87.976319, -87.981253, -87.984953, -87.986191, -87.990463, -87.991174, -87.991043, 43.116254, 43.119406, 43.119361, 43.11933, 43.119334, 43.119338, 43.115661, 43.111991, 43.112013, 43.11203, 43.112036, 43.112088, 43.112097, 43.116254)))",0.04171779141104295,0.09969325153374232,0.7739263803680981,0.00245398773006135,0.05122699386503068,3.0674846625766873e-4,0.006748466257668712,0.02392638036809816,3260,2062,1198
55079002000,"Census Tract 20, Milwaukee County, Wisconsin","list(list(c(-87.976279, -87.976238, -87.967602, -87.96627, -87.964679, -87.963495, -87.959907, -87.959997, -87.960036, -87.960076, -87.96108, -87.963324, -87.965033, -87.966411, -87.968933, -87.971314, -87.976319, -87.976279, 43.115661, 43.119338, 43.119299, 43.119293, 43.119287, 43.119196, 43.119184, 43.115606, 43.113784, 43.111936, 43.111941, 43.11195, 43.111957, 43.111963, 43.111971, 43.111977, 43.111991, 43.115661)))",0.05648986632169038,0.06338939197930142,0.8240620957309185,8.624407072013799e-4,0.007330746011211729,4.3122035360068997e-4,0.008193186718413108,0.039241052177662786,2319,1524,795
