geoid,name,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
86000US53007,"53007",1777,119,169,52,71,37,0,9,0,9,0,9,8,11,0,9,0,9,7,10,8,11,1,3,8,12,34,28,0,9,5,7,98,39,0,9,0,9,0,9,0,9,0,9,0,9,16,15,5,8,0,9,6,9,36,30,24,16,11,8,1608,131,812,97,24,17,0,9,90,37,17,14,3,5,30,36,54,39,147,53,128,31,70,24,120,32,97,49,32,24,796,70,32,16,0,9,34,21,26,17,0,9,7,9,55,42,133,42,103,39,74,28,130,39,99,39,103,31
86000US53022,"53022",19279,322,608,218,242,131,0,14,0,14,16,26,11,19,0,14,20,34,57,65,12,19,0,14,36,34,65,54,13,23,12,20,366,123,12,22,0,14,22,37,12,19,0,14,0,14,52,58,51,50,26,32,2,5,63,49,29,24,97,54,18671,392,8974,381,480,153,100,50,607,113,474,125,117,66,347,111,688,165,900,222,1365,206,1385,184,1359,163,696,131,456,121,9697,354,533,134,188,94,753,166,387,124,226,112,233,85,527,144,916,199,1238,165,1641,166,1411,177,836,148,808,173
86000US53051,"53051",36990,104,1033,233,328,97,31,30,0,18,22,26,11,18,20,32,0,18,47,52,20,18,10,15,30,31,83,44,25,20,29,28,705,176,9,14,10,15,36,28,46,59,8,12,34,31,68,50,38,24,75,50,41,36,92,49,98,61,150,74,35957,243,17242,446,1170,219,171,69,1037,149,602,144,289,97,509,137,1255,269,1961,227,2231,204,2398,199,2613,204,1583,176,1423,158,18715,482,1208,182,323,86,1200,169,627,131,257,77,560,132,944,207,2214,235,2141,199,2574,205,2886,243,1708,186,2073,251
86000US53092,"53092",20878,484,1156,441,508,252,137,129,0,16,0,16,25,40,0,16,33,39,72,56,135,89,1,2,0,16,60,47,30,35,15,23,648,218,122,106,0,16,47,50,7,11,0,16,19,29,139,102,67,50,11,17,25,31,69,53,26,32,116,91,19722,621,9710,439,436,142,170,93,692,150,485,122,154,68,320,100,599,182,753,137,885,131,1394,159,1425,183,1413,153,984,141,10012,391,293,98,89,51,514,118,493,124,246,97,303,99,516,159,604,113,1055,144,1548,167,1696,161,1513,145,1142,181
86000US53097,"53097",5146,344,188,93,54,41,0,12,0,12,9,13,0,12,0,12,7,12,0,12,0,12,7,11,10,16,10,22,11,17,0,12,134,72,0,12,0,12,9,15,17,19,0,12,0,12,0,12,20,31,11,17,36,33,0,12,28,29,13,18,4958,339,2506,182,132,57,17,18,157,79,129,57,42,27,25,23,230,109,122,63,309,92,391,88,539,100,220,70,193,51,2452,218,183,75,26,32,187,67,93,58,28,24,57,35,84,74,204,74,236,75,313,82,492,90,257,80,292,101
86000US53110,"53110",18201,57,2025,416,813,203,47,63,0,14,100,80,61,52,12,21,68,61,64,63,36,33,90,54,50,41,206,137,13,18,66,55,1212,319,71,61,29,50,19,28,61,64,0,14,65,54,142,86,129,81,180,136,132,73,173,90,142,91,69,55,16176,425,8083,471,461,205,50,44,348,138,269,103,95,53,178,98,487,164,1528,276,993,175,869,208,1305,206,898,166,602,184,8093,525,420,202,24,33,444,170,300,150,51,46,108,71,462,115,1074,229,1036,246,886,200,1313,185,917,152,1058,440
86000US53154,"53154",36054,35,1907,478,911,261,37,44,0,18,67,68,12,22,11,21,0,18,21,33,197,133,99,103,50,39,171,108,90,87,156,82,996,307,54,67,0,18,19,31,32,51,0,18,0,18,35,33,209,123,0,18,67,43,292,155,153,92,135,78,34147,486,17228,477,1188,346,113,69,1624,252,555,194,193,89,276,115,1358,234,2597,346,2159,249,2678,334,2413,295,1333,184,741,176,16919,506,1006,271,216,124,1125,239,603,206,204,119,498,130,878,194,2498,369,2341,230,2228,259,2793,310,1534,213,995,242
86000US53202,"53202",23356,641,3983,462,2258,334,7,10,0,16,0,16,0,16,0,16,0,16,832,192,626,194,97,53,260,137,232,102,160,88,44,28,1725,274,0,16,0,16,5,7,0,16,0,16,0,16,648,153,493,175,70,37,53,38,155,119,92,73,209,80,19373,647,9963,481,169,63,52,29,39,25,21,20,13,18,5,8,998,199,4311,366,1246,232,814,168,1135,185,725,135,435,113,9410,502,107,57,0,16,142,69,0,16,11,16,5,7,1132,189,4005,370,851,167,716,176,1066,191,724,154,651,148
86000US53203,"53203",1726,204,293,104,165,70,0,9,0,9,0,9,0,9,0,9,0,9,90,52,33,32,33,29,0,9,0,9,9,14,0,9,128,68,21,31,0,9,0,9,9,15,0,9,8,14,34,31,47,40,9,14,0,9,0,9,0,9,0,9,1433,202,852,155,7,10,0,9,5,9,0,9,6,10,13,20,137,65,422,130,42,31,65,37,115,51,32,25,8,9,581,124,7,11,6,10,0,9,5,11,0,9,0,9,83,45,321,102,17,16,28,21,91,47,4,7,19,21
86000US53204,"53204",38544,1487,14766,1276,6987,725,1057,281,110,56,1202,254,283,114,198,73,278,109,671,170,988,255,886,205,553,155,469,132,196,94,96,71,7779,748,979,212,127,65,1230,291,453,170,124,60,230,89,937,202,1314,224,889,179,799,187,421,117,226,98,50,31,23778,1279,12767,732,976,190,136,92,965,228,738,178,228,102,518,138,1160,221,2338,313,1924,271,1723,237,1172,202,545,111,344,96,11011,839,669,214,289,121,1133,221,420,194,173,83,172,69,1182,224,1871,315,1741,258,1492,222,855,150,659,127,355,112
86000US53205,"53205",8798,651,4085,585,1608,309,207,91,75,47,300,85,136,72,24,27,42,48,116,58,216,102,104,55,102,58,176,77,92,43,18,28,2477,385,258,98,66,56,343,124,128,82,55,34,105,64,211,112,284,89,332,94,202,77,259,75,177,68,57,28,4713,531,1970,258,73,41,26,28,256,92,65,35,27,23,80,48,276,93,242,86,225,81,181,54,274,76,154,60,91,36,2743,370,172,83,13,17,270,107,160,77,37,25,59,30,282,99,364,124,389,82,283,85,370,84,177,61,167,68
86000US53206,"53206",22286,1324,8645,995,4363,569,703,176,96,61,705,210,293,103,64,40,95,65,282,100,685,200,320,105,449,140,519,125,110,62,42,30,4282,593,447,181,90,56,496,155,239,102,118,58,120,66,541,201,793,168,418,119,383,109,430,123,138,51,69,32,13641,1102,6180,584,397,139,152,72,586,177,268,118,96,52,156,71,613,183,733,179,800,191,732,152,802,133,521,129,324,99,7461,782,491,207,60,42,566,206,223,114,145,79,235,104,562,162,1064,250,1106,176,796,167,1080,191,556,104,577,117
86000US53207,"53207",36633,923,4863,794,2332,369,191,93,125,93,216,103,117,69,24,27,18,17,183,78,414,133,291,97,234,79,353,108,57,34,109,74,2531,497,308,157,38,36,239,92,120,94,52,40,74,62,237,103,596,147,302,115,201,90,155,58,153,76,56,38,31770,900,15892,538,860,171,148,79,871,163,348,89,121,63,257,78,857,196,3315,275,2858,247,2133,176,1901,205,1600,167,623,122,15878,566,683,125,177,78,1006,175,318,77,136,78,261,95,767,199,3584,301,2639,221,1790,195,2350,221,1261,145,906,145
86000US53208,"53208",29944,1112,8663,907,3764,497,427,136,55,48,532,182,262,109,66,44,196,76,345,132,407,150,315,110,393,111,565,150,151,69,50,41,4899,588,603,176,71,56,561,172,292,109,88,66,226,72,486,158,850,204,498,113,536,113,416,137,193,78,79,59,21281,984,10391,511,783,218,136,73,852,247,456,137,113,46,272,77,1096,210,1823,251,1333,194,1256,155,1270,179,787,131,214,61,10890,752,869,245,108,55,796,181,495,114,74,35,250,99,824,215,2073,289,1539,210,1428,191,1282,167,855,119,297,77
86000US53209,"53209",46221,1696,12599,1444,5306,729,924,284,172,109,1150,343,231,112,181,120,131,68,376,150,793,238,356,131,368,134,439,117,98,49,87,62,7293,935,595,207,184,109,968,285,400,117,186,114,262,131,627,214,1308,292,707,225,714,233,725,187,411,135,206,86,33622,1679,15814,920,1132,270,39,31,1404,256,589,164,223,94,563,181,1507,394,2205,326,1961,294,2166,321,1796,229,1357,228,872,169,17808,1053,925,274,321,159,1175,294,725,234,196,108,572,171,1272,287,2584,360,2393,376,2506,300,2146,272,1741,229,1252,170
86000US53210,"53210",26433,1159,7597,927,3112,386,534,155,78,59,621,186,170,77,62,48,127,77,302,132,117,57,286,105,273,84,415,112,98,49,29,24,4485,633,381,164,116,83,715,180,186,88,92,49,81,54,443,155,944,202,423,122,319,106,600,151,98,48,87,42,18836,1203,8461,597,800,201,109,57,847,189,514,155,152,58,342,123,942,209,1093,219,1055,159,862,179,1064,174,514,104,167,71,10375,755,631,185,71,65,911,225,504,138,118,58,337,101,1078,216,1608,239,1407,217,1325,174,1232,205,752,137,401,104
86000US53211,"53211",32539,746,6566,635,3358,463,39,48,34,32,36,36,18,21,8,12,12,21,2326,415,410,190,130,72,113,53,116,67,31,26,85,48,3208,429,74,64,0,18,90,68,44,40,0,18,30,34,2119,368,297,130,83,49,87,41,119,66,60,39,205,84,25973,771,13316,675,668,157,130,57,778,158,302,101,114,53,257,71,2071,335,3046,428,1631,189,1285,163,1410,160,994,144,630,146,12657,489,616,149,133,65,612,150,352,87,153,74,275,83,1539,269,2470,319,1476,175,1454,158,1405,163,1159,137,1013,121
86000US53212,"53212",29978,1094,8628,944,3905,484,463,150,101,72,497,147,272,112,88,58,183,90,518,143,491,183,315,121,397,127,382,107,133,56,65,49,4723,631,387,142,99,76,649,196,157,94,146,99,174,77,555,176,842,242,633,141,357,133,425,102,130,47,169,89,21350,915,10487,558,318,101,13,17,484,121,318,116,111,68,132,72,1221,210,2763,317,1376,198,1437,241,1330,196,734,143,250,90,10863,670,610,178,82,48,716,218,422,135,112,52,229,79,1019,224,2580,286,1368,177,1362,189,1163,173,797,140,403,82
86000US53213,"53213",27297,742,1874,377,779,203,0,16,24,31,71,79,9,13,9,14,6,15,139,85,118,75,93,97,118,60,103,81,60,51,29,20,1095,256,41,40,0,16,31,29,0,16,14,19,0,16,192,82,178,81,143,109,88,76,176,102,81,57,151,106,25423,891,12609,576,975,189,239,98,1047,190,559,174,164,67,406,117,734,163,2194,331,1773,203,1702,211,1496,177,788,131,532,131,12814,545,739,153,150,60,796,174,537,117,148,67,276,86,683,171,2603,343,1667,180,1760,218,1633,210,1008,144,814,136
86000US53214,"53214",35188,971,4938,655,2214,363,181,108,49,45,239,92,71,41,47,46,63,39,218,94,340,126,300,132,321,135,199,68,86,43,100,67,2724,409,199,117,25,24,164,77,20,18,0,18,54,32,310,120,623,157,298,115,271,103,334,114,239,89,187,78,30250,1018,15278,664,895,191,191,83,1048,210,583,138,116,74,390,127,892,170,3250,430,2407,265,1719,216,2123,239,1203,147,461,112,14972,677,739,193,180,72,1124,245,696,196,202,92,179,65,954,216,2908,319,1931,221,1624,203,2169,242,1293,166,973,139
86000US53215,"53215",59592,1825,16190,1347,7736,801,1004,274,218,118,1477,289,734,179,243,83,286,115,665,190,795,220,765,181,621,142,580,139,259,103,89,60,8454,759,940,231,129,65,1255,273,325,101,175,87,208,82,879,203,1266,213,1303,228,684,161,663,168,272,84,355,182,43402,1753,22201,1082,1331,246,356,130,1839,233,801,191,365,119,729,162,2681,355,3501,423,3886,388,2883,292,2112,269,1157,174,560,125,21201,1007,1420,263,241,101,1960,344,1125,230,402,114,890,183,1912,276,2744,312,3208,301,2985,285,2149,249,1233,172,932,154
86000US53216,"53216",33390,1248,8136,992,3539,595,461,171,52,55,817,242,226,97,150,117,150,79,480,212,338,131,179,83,299,114,243,90,114,47,30,31,4597,560,459,179,42,50,461,168,414,152,114,52,64,42,373,141,637,172,622,154,638,173,487,145,153,74,133,62,25254,1395,12040,783,727,223,183,92,1185,254,709,169,317,112,397,126,1278,295,1284,234,1588,242,1419,221,1322,197,1007,165,624,135,13214,884,644,239,122,73,854,206,484,208,149,60,445,152,1003,212,1563,234,1802,224,2173,274,2103,260,1197,161,675,120
86000US53217,"53217",28369,733,1310,330,532,151,0,16,0,16,22,22,8,12,0,16,60,61,62,49,60,50,35,29,85,60,78,40,57,34,65,47,778,222,2,4,12,19,79,62,24,31,59,48,13,22,83,104,35,29,71,51,104,65,108,57,85,43,103,88,27059,754,13303,536,1022,171,219,82,1058,146,588,119,168,61,439,124,665,225,1540,281,1667,173,1928,177,1624,164,1370,167,1015,145,13756,426,851,156,62,34,1176,201,608,129,209,74,386,90,554,141,1444,221,1691,155,2188,221,1863,199,1596,168,1128,167
86000US53218,"53218",41589,1696,12147,1368,5193,654,875,278,123,79,1148,314,308,131,79,68,347,144,468,155,507,166,426,163,268,99,414,119,172,82,58,45,6954,855,950,290,272,136,936,245,369,133,200,113,243,121,711,175,1264,297,731,177,493,121,374,111,281,106,130,76,29442,1498,13607,916,980,245,130,93,1300,235,1012,275,256,118,601,161,1328,324,1788,328,1719,264,1951,261,1331,225,886,153,325,93,15835,934,1276,294,155,92,1207,293,591,183,196,89,529,161,1462,289,2275,355,2622,319,2000,278,1814,230,1038,164,670,145
86000US53219,"53219",34551,1233,4227,789,1804,398,323,144,0,18,247,208,17,19,9,14,16,18,101,82,319,112,85,51,141,66,270,111,152,72,124,80,2423,536,136,91,64,48,167,117,104,99,28,27,16,26,190,99,372,116,343,175,271,154,373,124,255,107,104,52,30324,1136,14777,672,895,221,129,58,984,212,369,146,245,98,401,111,817,206,2587,386,2232,245,2108,239,2118,229,1176,153,716,121,15547,805,1139,271,180,85,1060,196,526,118,138,76,328,113,799,175,2621,394,2064,266,1806,260,2384,287,1435,201,1067,182
