ward,zip,alloc
124,53217,0.1201137655061485
124,53212,0.8320567198968102
124,53211,0.04782951461512984
125,53212,1
126,53212,0.9565398885192019
126,53211,0.043460152755881415
127,53212,1.1724279346812543e-4
127,53211,0.9998827572065319
128,53212,0.004958546975950281
128,53211,0.9950414531898071
129,53211,1
242,53207,1
243,53207,1
244,53207,1
245,53207,1
246,53207,1
199,53208,0.9977759648953916
199,53233,0.0022240351057760707
200,53208,1
201,53208,1
202,53208,1
203,53208,0.9984136747133547
203,53213,0.001586325286645217
204,53208,1
205,53208,0.4634080334514967
205,53214,0.0011785498613516737
205,53213,0.5354134167637095
206,53208,0.5559244899866251
206,53214,0.3422208768036737
206,53213,0.10185463320970119
174,53205,1
175,53205,0.3842415061467327
175,53212,0.6157584938532673
176,53205,0.2981031593424713
176,53203,0.07109360681442171
176,53202,0.010096362212215663
176,53212,0.6207068716308913
177,53202,0.004058987234792441
177,53212,0.9959410127652075
178,53202,0.9997725408653617
178,53212,2.274591348515206e-4
179,53202,0.9998699860131456
179,53212,1.3001398685444834e-4
180,53202,0.9849539646922596
180,53211,0.015046066326850556
186,53203,8.193306254143641e-4
186,53202,0.9952844204239646
186,53207,0.0024347774832356372
186,53204,0.001461471467385465
187,53203,0.6598954443143561
187,53202,0.019943912290570805
187,53204,0.11600386744189871
187,53233,0.20415678520059746
188,53203,0.5776156907490212
188,53202,0.007380188520959144
188,53233,0.41500413859688406
189,53205,0.4474853674342028
189,53203,0.24007243307593565
189,53202,0.00370771419856008
189,53212,0.05225870788641766
189,53233,0.2564757781711899
190,53203,7.027989389483538e-4
190,53233,0.9992972010610517
191,53233,1
192,53205,3.2696085106280686e-5
192,53233,0.9999673039148937
193,53205,0.49517587683688874
193,53208,0.1369783496404304
193,53233,0.3678457735226809
194,53233,1
195,53208,0.19590120270151132
195,53233,0.8040987973176346
196,53208,0.5408077931593256
196,53233,0.4591922068406744
197,53208,1
198,53208,0.9950898153748667
198,53233,0.004910184625133299
181,53202,0.9864051646733314
181,53211,0.013594835326668595
182,53202,1
183,53203,7.935847971095507e-4
183,53202,0.9990367975369735
183,53212,1.696176659169102e-4
184,53202,1
185,53203,0.004084355672640849
185,53202,0.9959156444446862
144,53205,0.5522418328887038
144,53206,0.4477581854420129
146,53206,1
147,53206,1
148,53205,0.44122544335691377
148,53206,0.5587746089250001
149,53205,0.4222372476496864
149,53206,0.5491447159911931
149,53208,0.008070935825942894
149,53210,0.0205471902057912
150,53205,0.0031551622339709502
150,53208,0.996844883478219
151,53205,6.799668071463956e-6
151,53206,0.008581947061729286
151,53208,0.12327731276180795
151,53210,0.8681339405083913
50,53218,0.4358576743160284
50,53209,0.5641423256839716
145,53206,1
152,53208,0.07456188859458403
152,53210,0.925438111405416
153,53210,1
154,53210,1
155,53208,0.7091380392771808
155,53210,0.29086198295881693
156,53208,0.5379073736229666
156,53210,0.46209262637703347
157,53208,1
158,53208,0.004077989393892083
158,53210,0.995922010606108
159,53210,1
160,53210,1
161,53210,1
162,53208,0.06320595328305877
162,53210,0.9367940467217849
163,53210,1
164,53210,0.9649183373515969
164,53213,0.03508166966221406
165,53210,0.910530041142256
165,53213,0.08946996079422365
166,53208,0.0034926647786855287
166,53210,0.9965073352213145
167,53208,1
168,53208,1
169,53208,1
170,53205,0.005143730613418013
170,53208,0.994856269386582
171,53208,1
172,53205,0.8181405620975042
172,53208,0.18185945512777008
173,53205,0.9988484539121587
173,53208,0.0011515460878412675
234,53203,0.032631029979072815
234,53204,0.5400069888535748
234,53233,0.4273619811673524
235,53203,0.07030015611702801
235,53202,0.015471546314635149
235,53204,0.9142282975683368
236,53204,1
237,53204,1
238,53215,0.009986400586107329
238,53204,0.9900135994138927
239,53215,9.671294431010264e-4
239,53207,0.01596387953610845
239,53204,0.9830689910207905
240,53207,0.004063854298641535
240,53204,0.9959361476694005
241,53202,8.478942087632556e-4
241,53207,0.9528052586540665
241,53204,0.04634684713717024
